PhenID	StudyID	DataSetID	DataSet Name	PhenName	PhenDescription					PhenNorm	Theme	ThemePCN	ThemeCUI	ThemeSTT	TopicPCN	Topic CUI	Topic STT	SOI	SOI CUIs	SOI STT	Category
phv00089004.v1 	 phs000222.v1.p1 	 pht001170.v1 	 Predict_HD_scl90p 	 scl35 	 Other people aware/their private thoughts 	 encoded value 	 NONE 	 NONE 	 NONE 	 other people aware/their private thoughts 	 NULL 	 NULL 	 NULL 	 NULL 	" awareness;thinking, function "	 C0004448;C0039869 	 menp;menp 	 study subject 	 C0681850 	 grup	Mental or Emotional Finding
phv00124144.v1 	 phs000284.v1.p1 	 pht001902.v1 	 CFS_CARe_Subject_Phenotypes 	 tigf 	 TIGF (ng/mL) 	 decimal 	 NONE 	48.4	927	 tigf ng/m l 	 NULL 	 NULL 	 NULL 	 NULL 	  	  	  	 study subject 	 C0681850 	 grup	
phv00003214.v1 	 phs000007.v18.p7 	 pht000019.v3 	 ex0_17s 	 FJ312 	" ECG: S-T DEPRESSION ""STRAIN PATTERN""-WITH DOWN-SLOPING ST "	 NONE 	 NONE 	 NONE 	 NONE 	 electrocardiogram  subtalar depression strain pattern with down sloping subtalar 	 NULL 	 NULL 	 NULL 	 NULL 	 electrocardiogram;mental depression;muscle strain;depressive disorder;depressed mood;electrocardiography 	 C0013798;C0011570;C0080194;C0011581;C0344315;C1623258 	 fndg;mobd;inpo;mobd;fndg;diap 	 study subject 	 C0681850 	 grup	Diagnostic Procedure;Medical History
phv00115660.v2 	 phs000285.v2.p2 	 pht001667.v2 	 C1F12PF 	 C12RATB4 	" RATIO FEV3/FVC, TRIAL #4 "	 integer 	 NONE 	14	100	 ratio fev3/fvc  trial  number4 	 NULL 	 NULL 	 NULL 	 NULL 	 clinical trials;capacity.vital.forced:volume:point in time:respiratory system:quantitative 	 C0008976;C0802685 	 resa;clna 	 study subject 	 C0681850 	 grup	Research Attributes
phv00114243.v2 	 phs000285.v2.p2 	 pht001598.v2 	 B2F04 	 B04ACCUS 	 ACCUSSED OF IMPRISONABLE OFFENSE. Q A 	 encoded 	 NONE 	 NONE 	 NONE 	 accussed of imprisonable offense  q a 	 NULL 	 NULL 	 NULL 	 NULL 	  	  	  	 study subject 	 C0681850 	 grup	
phv00049726.v1 	 phs000086.v2.p1 	 pht000330.v1 	 EDIC_f0302 	 COONVELE 	 F. Ophthalmoscopic examination: are there new vessels (NVE) outside 7 standard fields? Left eye 	 byte 	 NONE 	 NONE 	 NONE 	 f  ophthalmoscopic examination  are there new vessels  nve  outside 7 standard fields  left eye 	 NULL 	 NULL 	 NULL 	 NULL 	 fluorides;ophthalmoscopy;no visible estrus 	 C0016327;C0029090;C0232915 	" inch,phsu;diap;sosy "	 study subject 	 C0681850 	 grup	Medication Patient;Diagnostic Procedure;Medical History
phv00096379.v1 	 phs000280.v1.p1 	 pht001369.v1 	 ARIC_CARE_RPAAV1C1 	 RPAA15 	" CHEST WHEEZE, WHISTLE ALOT?       Q15 "	 encoded 	 NONE 	 NONE 	 NONE 	 chest wheeze  whistle alot  q15 	 NULL 	 NULL 	 NULL 	 NULL 	 wheezing 	 C0043144 	 sosy 	 study subject 	 C0681850 	 grup	Medical History
phv00094651.v1 	 phs000280.v1.p1 	 pht001339.v1 	 ARIC_CARE_INFAV4C1 	 INFA3B 	 MORE THAN 1 EPISODE ARTHRITIS 10 YRS Q3B 	 encoded 	 NONE 	 NONE 	 NONE 	 more than 1 episode arthritis 10 years q3 b 	 NULL 	 NULL 	 NULL 	 NULL 	 arthritis 	 C0003864 	 dsyn 	 study subject 	 C0681850 	 grup	Medical History
phv00052401.v1 	 phs000017.v3.p1 	 pht000367.v1 	 GAIN_AA_DIGS4 	 V777 	" G1b Unusual irritability, (African American participants). DIGS4 "	 NONE 	 NONE 	 NONE 	 NONE 	 g1 b unusual irritability   african american participants   diagnostic interview for genetic studies 	 Race 	 african american 	 C0085756 	 popg 	 irritable mood;diagnosis;irritation - emotion;genetic study 	 C0022107;C0011900;C2700617;C2827447 	 fndg;fndg;menp;resa 	 participant 	 C0679646 	 popg	Demographics Patient;Mental or Emotional Finding;Research Attributes;Medical History
phv00019140.v1 	 phs000017.v3.p1 	 pht000058.v1 	 EA_DIGS4_Data 	 V2112 	 Q5.  Age.  (Participants with European ancestry). DIGS4 	 NONE 	 Years old 	 NONE 	 NONE 	 q5  age   participants with european ancestry   diagnostic interview for genetic studies 	 Age;Ethnicity 	 age;ethnic european 	 C0001779;C0239307 	 orga;popg 	 diagnosis;genetic study 	 C0011900;C2827447 	 fndg;resa 	 participant 	 C0679646 	 popg	Demographics Patient;Research Attributes
phv00008533.v3 	 phs000007.v18.p7 	 pht000032.v4 	 ex1_3s 	 C178 	 AT JOB: WORK OFTEN STRETCHED YOU TO YOUR LIMITS OF ENERGY AND CAPACITY 	 NONE 	 NONE 	 NONE 	 NONE 	 at job  work often stretched you to your limits of energy and capacity 	 Employment Status 	 computer job 	 C2826594 	 mcha 	 vitality 	 C0424589 	 fndg 	 study subject 	 C0681850 	 grup	Demographics Patient;Medical History
phv00011677.v1 	 phs000017.v3.p1 	 pht000056.v1 	 EA_DIGS2_Data 	 I1000 	 B3f. Have you had any of the following conditions: meningitis/other brain disorders? (Participants with European ancestry). DIGS2 	 NONE 	 NONE 	 NONE 	 NONE 	 b3 f  have you had any of the following conditions  meningitis/other brain disorders   participants with european ancestry   digs2 	 Ethnicity 	 ethnic european 	 C0239307 	 popg 	 fluorides;meningitis;others;brain diseases 	 C0016327;C0025289;C1955473;C0006111 	" inch,phsu;dsyn;fndg;dsyn "	 participant 	 C0679646 	 popg	Demographics Patient;Medication Patient;Medical History
phv00065339.v2 	 phs000007.v18.p7 	 pht000610.v3 	 wholedxa0_24_0708s 	 wb23pelbmc 	 WHOLEBODY PELVIS BMC EX23 (GRAMS) 	 NONE 	 grams 	 NONE 	 NONE 	 wholebody pelvis bone mineral content ex23   grams 	 NULL 	 NULL 	 NULL 	 NULL 	  	  	  	 study subject 	 C0681850 	 grup	
phv00079444.v3 	 phs000200.v8.p2 	 pht001011.v3 	 f43_rel1 	 OCAGEMAX 	 Age last used OC 	 integer 	 years 	16	71	 age last used oc 	 Age 	 age 	 C0001779 	 orga 	 used by 	 C1273517 	 fndg 	 study subject 	 C0681850 	 grup	Demographics Patient
phv00124291.v1 	 phs000284.v1.p1 	 pht001902.v1 	 CFS_CARe_Subject_Phenotypes 	 HEAAGEDAY 	 Days from visit date - Diagnosed Other Heart Disease 	 integer 	 NONE 	-17291	-967	 days from visit date diagnosed other heart disease 	 NULL 	 NULL 	 NULL 	 NULL 	 diagnosis;other disease of heart 	 C0011900;C0178273 	 fndg;dsyn 	 study subject 	 C0681850 	 grup	Healthcare Encounter;Medical History
phv00160054.v1 	 phs000353.v1.p1 	 pht002253.v1 	 Preterm_Birth_AA_Subject_Phenotypes_112 	 term_del 	 Number of term deliveries the mother has had. 	 integer 	 NONE 	0	4	 number of term deliveries the mother has had 	 NULL 	 NULL 	 NULL 	 NULL 	 term pregnancy delivered 	 C0233089 	 orgf 	 mother (person) 	 C0026591 	 famg	Medical History Family
phv00167124.v2 	 phs000007.v18.p7 	 pht002572.v2 	 t_echo_2008_m_0549s 	 RHRVHYPE 	 RIGHT HEART/PERICARDIUM: RV (Right Ventricular) hypertrophy 	 NONE 	 NONE 	 NONE 	 NONE 	 right heart/pericardium  residual volume  right ventricular  hypertrophy 	 NULL 	 NULL 	 NULL 	 NULL 	 right ventricular hypertrophy;cardiac volume;residual volume;lung residual volume measurement;volume.residual:volume:point in time:respiratory system:quantitative 	 C0162770;C0007179;C0035190;C0429713;C0802961 	 dsyn;orgf;clna;lbpr;clna 	 study subject 	 C0681850 	 grup	Lab Tests Patient;Medical History
phv00126884.v1 	 phs000286.v3.p1 	 pht001953.v1 	 DPASS_DIET1_ES 	 ravg_atc 	 RECALL: vitamin E (total alpha-tocopherol) 	 decimal 	 NONE 	1.1275	42.67	 recall  vitamin e  total alpha tocopherol 	 NULL 	 NULL 	 NULL 	 NULL 	 mental recall;vitamin e;alpha tocopherol;recall:-:point in time:^patient:- 	 C0034770;C0042874;C0969677;C2361119 	" menp;lipd,phsu,vita;lipd,phsu,vita;clna "	 study subject 	 C0681850 	 grup	Medication Patient;Mental or Emotional Finding;Eating or Nutritional Finding
phv00002230.v1 	 phs000007.v18.p7 	 pht000016.v3 	 ex0_14s 	 FG95 	 INTERIM HISTORY OF MEDICINE USED: ORAL HYPOGLYCEMIC AGENTS 	 NONE 	 NONE 	 NONE 	 NONE 	 interim history of medicine used  oral hypoglycemic agents 	 NULL 	 NULL 	 NULL 	 NULL 	 medical history;history of previous events;pharmaceutical preparations;used by;oral hypoglycemic 	 C0262926;C2004062;C0013227;C1273517;C0359086 	 fndg;fndg;phsu;fndg;phsu 	 study subject 	 C0681850 	 grup	Medication Patient;Medical History
phv00122622.v1 	 phs000284.v1.p1 	 pht001902.v1 	 CFS_CARe_Subject_Phenotypes 	 PERART 	 % of time in artifacts 	 decimal 	 NONE 	0	99.6	 % of time in artifacts 	 NULL 	 NULL 	 NULL 	 NULL 	  	  	  	 study subject 	 C0681850 	 grup	
phv00000596.v1 	 phs000007.v18.p7 	 pht000009.v2 	 ex0_7s 	 MF127 	" FINAL DIAGNOSTIC IMPRESSION: AORTIC REGURGITATION OR STENOSIS, EXAM 2 "	 NONE 	 NONE 	 NONE 	 NONE 	 final diagnostic impression  aortic regurgitation or stenosis  exam 2 	 NULL 	 NULL 	 NULL 	 NULL 	" aortic valve insufficiency;acquired stenosis;medical examination;stenosis, unspecified;stenosis "	 C0003504;C0009814;C0582103;C0947637;C1261287 	 dsyn;patf;hlca;patf;patf 	 study subject 	 C0681850 	 grup	Medical History
phv00097233.v1 	 phs000280.v1.p1 	 pht001399.v1 	 ARIC_CARE_TIADV3C1 	 TIAD28A 	 HOW LONG UNTIL NUMBNESS WORST?    Q28A 	 encoded 	 NONE 	 NONE 	 NONE 	 how long until numbness worst  q28 a 	 NULL 	 NULL 	 NULL 	 NULL 	 hypesthesia;numbness 	 C0020580;C0028643 	 fndg;sosy 	 study subject 	 C0681850 	 grup	Medical History
phv00161085.v1 	 phs000209.v10.p2 	 pht002195.v2 	 MESA_Exam1ECGContiWaveform 	 btiv21 	" T Intrisicoid (Time from STE Onset to Peak of T), Lead V2 (mSec) "	 NUMERIC 	 msec 	 NONE 	 NONE 	 t intrisicoid  time from st elevation started to peak of t   lead v2 m sec 	 NULL 	 NULL 	 NULL 	 NULL 	" t prime;st segment elevation (finding);lead;plumbum metallicum, homeopathic preparation;v2 stage "	 C2603360;C0520886;C0023175;C1442948;C0457423 	" clna;fndg;elii,hops;inch,phsu;fndg "	 study subject 	 C0681850 	 grup	Medication Patient;Substance Use History;Medical History
phv00094316.v1 	 phs000280.v1.p1 	 pht001329.v1 	 ARIC_CARE_HHXV2C1 	 HHXB05IY 	 DATE CANCER DIAGNOSED - YEAR        Q5IY 	 integer 	 NONE 	30	92	 date cancer diagnosed year q5 iy 	 NULL 	 NULL 	 NULL 	 NULL 	 malignant neoplasms;primary malignant neoplasm;date fruit;diagnosis 	 C0006826;C1306459;C2348077;C0011900 	 neop;neop;food;fndg 	 study subject 	 C0681850 	 grup	Medical History
phv00081836.v1 	 phs000219.v1.p1 	 pht001076.v1 	 d_csa10 	 SBHS2 	 Subject History of disease - teenager (2) 	 Encoded Value 	 NONE 	 NONE 	 NONE 	 subject history of disease teenager  2 	 NULL 	 NULL 	 NULL 	 NULL 	 medical history;history of previous events 	 C0262926;C2004062 	 fndg;fndg 	 teens 	 C1521910 	 popg	Medical History Family
phv00036101.v1 	 phs000017.v3.p1 	 pht000058.v1 	 EA_DIGS4_Data 	 V843 	 G17.2a. Voices within.  (Participants with European ancestry). DIGS4 	 NONE 	 NONE 	 NONE 	 NONE 	 g17 2 a  voices within   participants with european ancestry   diagnostic interview for genetic studies 	 Ethnicity 	 ethnic european 	 C0239307 	 popg 	 voice;diagnosis;genetic study 	 C0042939;C0011900;C2827447 	 orgf;fndg;resa 	 participant 	 C0679646 	 popg	Demographics Patient;Research Attributes;Medical History
phv00171753.v1 	 phs000462.v1.p1 	 pht002844.v1 	 T2D_GENES_Subject_Phenotypes 	 WAISTC_NUM 	 Number of study visits for which we have Waist circumference 	 integer 	 NONE 	0	5	 number of study visits for which we have waist circumference 	 NULL 	 NULL 	 NULL 	 NULL 	 clinical trials;study;waist circumference (observable entity) 	 C0008976;C2603343;C0455829 	 resa;resa;clna 	 study subject 	 C0681850 	 grup	Healthcare Encounter;Clinical Attributes;Research Attributes
phv00098237.v1 	 phs000280.v1.p1 	 pht001412.v1 	 ARIC_CARE_VENBV2C1 	 VENB13 	 COMMENTS ON BLOOD DRAWING         Q13 	 string 	 NONE 	 NONE 	 NONE 	 comments on blood drawing q13 	 NULL 	 NULL 	 NULL 	 NULL 	 venous blood sampling 	 C0190979 	 diap 	 study subject 	 C0681850 	 grup	Diagnostic Procedure
phv00001159.v1 	 phs000007.v18.p7 	 pht000010.v3 	 ex0_8s 	 FA159 	 SIGNS OF CVA:  APHASIA 	 NONE 	 NONE 	 NONE 	 NONE 	 signs of cerebral vascular accident  aphasia 	 NULL 	 NULL 	 NULL 	 NULL 	 physical findings;cerebrovascular accident;aphasia 	 C0311392;C0038454;C0003537 	 fndg;dsyn;mobd 	 study subject 	 C0681850 	 grup	Medical History
phv00077960.v3 	 phs000200.v8.p2 	 pht000993.v3 	 f146_rel1 	 AWHYCHNG_6 	 Why did you make change to drinking 	 encoded value 	 NONE 	 NONE 	 NONE 	 why did you make change to drinking 	 NULL 	 NULL 	 NULL 	 NULL 	 alcohol consumption;drinking function 	 C0001948;C0684271 	 inbe;orgf 	 study subject 	 C0681850 	 grup	Drinking History
phv00105150.v1 	 phs000287.v2.p1 	 pht001490.v1 	 YR5NEW 	 MILE01 	 WALK A 1/2 MILE W/O DIFFICULTY 	 encoded 	 NONE 	 NONE 	 NONE 	 walk a 1/2 mile w/o difficulty 	 NULL 	 NULL 	 NULL 	 NULL 	 walking (activity);degenerative polyarthritis;difficulty 	 C0080331;C0029408;C1299586 	 dora;dsyn;fndg 	 study subject 	 C0681850 	 grup	Daily or Recreational Activity
phv00013147.v1 	 phs000017.v3.p1 	 pht000056.v1 	 EA_DIGS2_Data 	 I15120 	 P29c. Did you go out of your way to avoid: simple/specific fear(s)? (Participants with European ancestry). DIGS2 	 NONE 	 NONE 	 NONE 	 NONE 	 p29 c  did you go out of your way to avoid  simple/specific fear s    participants with european ancestry   digs2 	 Ethnicity 	 ethnic european 	 C0239307 	 popg 	 specific fear 	 C0455738 	 fndg 	 participant 	 C0679646 	 popg	Demographics Patient;Medical History
phv00049967.v1 	 phs000086.v2.p1 	 pht000332.v1 	 EDIC_f0422 	 DBJ2A3 	" J2a3. Potential contributing factors, diet four-hours before hypoglycemic event: missed-unknown "	 byte 	 NONE 	 NONE 	 NONE 	 j2a3   potential contributing factors  diet four hours before hypoglycemic event  missed unknown 	 NULL 	 NULL 	 NULL 	 NULL 	 diet;hypoglycemic agents 	 C0012155;C0020616 	 food;phsu 	 study subject 	 C0681850 	 grup	Medication Patient;Substance Use History;Eating or Nutritional Finding
phv00081637.v1 	 phs000219.v1.p1 	 pht001071.v1 	 d_csa05L2_trans 	 PHN_SBHS 	 PAIN DUE TO VIRUS (POST HERPETIC NEURALGIA): Subject History of disease 	 Encoded Value 	 NONE 	 NONE 	 NONE 	 pain due to virus  post herpetic neuralgia   subject history of disease 	 NULL 	 NULL 	 NULL 	 NULL 	 pain;pain nos adverse event;postherpetic neuralgia;medical history;history of previous events;disease 	 C0030193;C1962977;C0032768;C0262926;C2004062;C0012634 	 sosy;fndg;dsyn;fndg;fndg;dsyn 	 study subject 	 C0681850 	 grup	Clinical Attributes;Medical History
phv00026524.v1 	 phs000086.v2.p1 	 pht000215.v1 	 DCCT_cbl00 	 GFRAVG 	 CBL00: Mean unadjusted GFR (ml/min) 	 NONE 	 NONE 	 NONE 	 NONE 	 cbl00   mean unadjusted glomerular filtration rate  ml/min 	 NULL 	 NULL 	 NULL 	 NULL 	 glomerular filtration rate;glomerular filtration rate finding 	 C0017654;C1561549 	" diap,ortf;fndg "	 study subject 	 C0681850 	 grup	Diagnostic Procedure
phv00121718.v1 	 phs000285.v2.p2 	 pht001873.v1 	 Z33B06 	 Z33BMDX 	 PERSONAL PHYSCICIAN EXPLANATION 	 encoded 	 NONE 	 NONE 	 NONE 	 personal physcician explanation 	 NULL 	 NULL 	 NULL 	 NULL 	  	  	  	 study subject 	 C0681850 	 grup	
phv00052376.v1 	 phs000017.v3.p1 	 pht000367.v1 	 GAIN_AA_DIGS4 	 V726 	" F69b Year of death, (African American participants). DIGS4 "	 NONE 	 Year 	 NONE 	 NONE 	 f69 b year of death   african american participants   diagnostic interview for genetic studies 	 Race 	 african american 	 C0085756 	 popg 	 genetic study 	 C2827447 	 resa 	 participant 	 C0679646 	 popg	Demographics Patient;Research Attributes
phv00070960.v1 	 phs000166.v2.p1 	 pht000700.v1 	 CAMP_CData 	 pred_bursts_event2_month 	 Number of months from Baseline to second prednisone burst.  See description of pre_bursts_event1_month variable.  The assignment is done in the same manner using the second prednisone bursts. 	 integer 	 month 	4	48	 number of months from baseline to second prednisone burst  see description of pre_bursts_event1 _month variable  the assignment is done in the same manner using the second prednisone bursts 	 NULL 	 NULL 	 NULL 	 NULL 	 prednisone;vision 	 C0032952;C0042789 	" horm,phsu,strd;orgf "	 study subject 	 C0681850 	 grup	Medication Patient;Medical History
phv00004654.v1 	 phs000007.v18.p7 	 pht000023.v4 	 ex0_21s 	 FN156 	 PROGESTERONE USE IN INTERIM 	 NONE 	 NONE 	 NONE 	 NONE 	 progesterone use in interim 	 NULL 	 NULL 	 NULL 	 NULL 	 progesterone 	 C0033308 	" horm,phsu,strd "	 study subject 	 C0681850 	 grup	Medication Patient
phv00094885.v1 	 phs000280.v1.p1 	 pht001345.v1 	 ARIC_CARE_MRCV3C1 	 MRCB024 	 Num.small basal ganglia infarcts   Q24 	 encoded 	 NONE 	 NONE 	 NONE 	 num small basal ganglia infarcts q24 	 NULL 	 NULL 	 NULL 	 NULL 	 infarction 	 C0021308 	 patf 	 study subject 	 C0681850 	 grup	Medical History
phv00011369.v2 	 phs000016.v2.p2 	 pht000052.v2 	 PACS 	 isb 	" Coping and consistency for hyperactivity, impulsiveness and inattentiveness - school behaviours "	 smallint(6) 	 NONE 	 NONE 	 NONE 	 coping and consistency for hyperactivity  impulsiveness and inattentiveness school behaviours 	 NULL 	 NULL 	 NULL 	 NULL 	 coping behavior;hyperactive behavior;impulsive character (finding);cognitive function: distractibility;behavior;behaviors and observations relating to behavior 	 C0009967;C0424295;C0564567;C0233415;C0004927;C0677505 	 inbe;fndg;fndg;fndg;inbe;fndg 	 study subject 	 C0681850 	 grup	Medical History
phv00172454.v1 	 phs000007.v18.p7 	 pht002900.v1 	 vr_ffreq_ex02_3_0713s 	 Q_TOTAL 	 Derived field: Cold cereal - Total 	 NONE 	 NONE 	 NONE 	 NONE 	 derived field  cold cereal total 	 NULL 	 NULL 	 NULL 	 NULL 	 cereals;common cold;cold sensation 	 C0007757;C0009443;C0234192 	 food;dsyn;phsf 	 study subject 	 C0681850 	 grup	Eating or Nutritional Finding
phv00014696.v1 	 phs000017.v3.p1 	 pht000057.v1 	 EA_DIGS3_Data 	 DOMICILE_TYPE 	" A 9. Domicile Type, (Participants with European ancestry). DIGS3 "	 NONE 	 NONE 	 NONE 	 NONE 	 a 9  domicile type   participants with european ancestry   digs3 	 Ethnicity 	 ethnic european 	 C0239307 	 popg 	  	  	  	 participant 	 C0679646 	 popg	Demographics Patient
phv00029035.v1 	 phs000086.v2.p1 	 pht000242.v1 	 DCCT_f003cmb2 	 OCH43E 	 MDI  3  - previous day: injection - A.M. or P.M. 	 byte 	 NONE 	 NONE 	 NONE 	 multiple dose injection 3 previous day  injection a m  or p m 	 NULL 	 NULL 	 NULL 	 NULL 	 injection of therapeutic agent;injection procedure;dose number:number:point in time:^patient:quantitative;p prime 	 C0021485;C1533685;C1114758;C2603361 	 topp;topp;clna;clna 	 study subject 	 C0681850 	 grup	Therapeutic or Preventive Procedure
phv00064899.v2 	 phs000007.v18.p7 	 pht000607.v3 	 cmrplaq1_2006s 	 n2_15 	 SECOND LARGEST AORTIC PLAQUE NUMBER FOR SLICE 15 	 NONE 	 NONE 	 NONE 	 NONE 	 second largest aortic plaque number for slice 15 	 NULL 	 NULL 	 NULL 	 NULL 	 dental plaque;plaque (lesion);senile plaques 	 C0011389;C0332461;C0333463 	 dsyn;fndg;acab 	 study subject 	 C0681850 	 grup	Medical History
phv00018933.v1 	 phs000017.v3.p1 	 pht000058.v1 	 EA_DIGS4_Data 	 V1905 	 O18f.  Specify.  (Participants with European ancestry). DIGS4 	 NONE 	 NONE 	 NONE 	 NONE 	 o18 f  specify   participants with european ancestry   diagnostic interview for genetic studies 	 Ethnicity 	 ethnic european 	 C0239307 	 popg 	 fluorides;diagnosis;genetic study 	 C0016327;C0011900;C2827447 	" inch,phsu;fndg;resa "	 participant 	 C0679646 	 popg	Demographics Patient;Medication Patient;Research Attributes
phv00020659.v1 	 phs000020.v2.p1 	 pht000070.v1 	 NESDA_NTR_MDD_GAIN_data 	 ABVneu26 	 Amsterdamse Biografische Vragenlijst (ABV) neuroticism item 26: Do you find it difficult to get over disappointments? 	 integer 	 NONE 	1	3	 amsterdamse biografische vragenlijst  amsterdamse biografische vragenlijst  neuroticism item 26  do you find it difficult to get over disappointments 	 NULL 	 NULL 	 NULL 	 NULL 	 neurotic disorders;neuroticism;finding;disappointment 	 C0027932;C1842981;C0243095;C0870427 	 mobd;dsyn;fndg;menp 	 study subject 	 C0681850 	 grup	Mental or Emotional Finding;Healthcare Encounter;Medical History
phv00160936.v1 	 phs000209.v10.p2 	 pht002195.v2 	 MESA_Exam1ECGContiWaveform 	 rpamavf1 	 R' Amplitude in Lead AVF (uV) 	 NUMERIC 	 uV 	 NONE 	 NONE 	 r  amplitude in lead exploring electrode located at the left foot u v 	 NULL 	 NULL 	 NULL 	 NULL 	" r prime;lead;plumbum metallicum, homeopathic preparation "	 C2603358;C0023175;C1442948 	" clna;elii,hops;inch,phsu "	 study subject 	 C0681850 	 grup	Medication Patient;Substance Use History
phv00159761.v2 	 phs000179.v2.p2 	 pht002239.v2 	 COPDGene_Subject_Phenotypes 	 AgeStopSmokPipe 	 Age when completely stopped smoking pipe [years old] 	 numeric 	 Year(s) old 	 NONE 	 NONE 	 age when completely stopped smoking pipe  years old 	 Age 	 age 	 C0001779 	 orga 	 smoking pipe (history) 	 C0240766 	 fndg 	 study subject 	 C0681850 	 grup	Demographics Patient;Smoking History
phv00070792.v2 	 phs000007.v18.p7 	 pht000689.v3 	 ffreq1_3s 	 DATES 	 HALF CUP OF DATES OR FIGS 	 NONE 	 NONE 	 NONE 	 NONE 	 half cup of dates or family interview for genetic studies 	 NULL 	 NULL 	 NULL 	 NULL 	 genetic study 	 C2827447 	 resa 	 family 	 C0015576 	 famg	Research Attributes Family
phv00169752.v1 	 phs000200.v8.p2 	 pht002758.v1 	 outc_cad_rel3 	 BRAINSRC 	 Brain Cancer ascertainment source 	 encoded value 	 NONE 	 NONE 	 NONE 	 brain cancer ascertainment source 	 NULL 	 NULL 	 NULL 	 NULL 	 malignant neoplasm of brain;source 	 C0153633;C0449416 	 neop;fndg 	 study subject 	 C0681850 	 grup	Medical History
phv00089148.v1 	 phs000222.v1.p1 	 pht001173.v1 	 Predict_HD_uhdrs 	 uhdrs12a 	 MAXIMAL CHOREA (FACE) 	 encoded value 	 NONE 	 NONE 	 NONE 	 maximal chorea  face 	 NULL 	 NULL 	 NULL 	 NULL 	 chorea 	 C0008489 	 dsyn 	 study subject 	 C0681850 	 grup	Daily or Recreational Activity
phv00165531.v1 	 phs000095.v2.p1 	 pht002546.v1 	 MARAZITA_USCohort_DentalCariesPhenotypeDS 	 TOT_MS 	 Total Surfaces missing due to decay. 	" integer, encoded integer "	 NONE 	0	8	 total surfaces missing due to decay 	 NULL 	 NULL 	 NULL 	 NULL 	 disintegration (morphologic abnormality) 	 C1265875 	 acab 	 study subject 	 C0681850 	 grup	Medical History
phv00092215.v1 	 phs000280.v1.p1 	 pht001300.v1 	 ARIC_CARE_DENTAL_JUNE_2009 	 BLDB27 	 Bleeding on Probing (BL) measure for Distobuccal (DB) of tooth number 27 	 encoded 	 NONE 	 NONE 	 NONE 	 bleeding on probing  bleeding on probing  measure for distobuccal  distobucca  of tooth number 27 	 NULL 	 NULL 	 NULL 	 NULL 	 hemorrhage;exploration with a probe 	 C0019080;C0419358 	 patf;diap 	 study subject 	 C0681850 	 grup	Diagnostic Procedure;Medical History
phv00155364.v2 	 phs000200.v8.p2 	 pht002118.v2 	 ecg_rel2 	 QRS_DUR 	 QRS Interval Duration (ms) 	 decimal 	 ms 	26	406	 qrs interval duration  multiple sclerosis 	 NULL 	 NULL 	 NULL 	 NULL 	" multiple sclerosis;qrs duration:time:point in time:heart:quantitative:ekg;qrs interval, function;duration "	 C0026769;C0488377;C0520880;C2926735 	 dsyn;clna;clna;phsu 	 study subject 	 C0681850 	 grup	Diagnostic Procedure;Medical History
phv00007998.v3 	 phs000007.v18.p7 	 pht000031.v5 	 ex1_2s 	 B381 	 CURRENT SMOKING-REG LAST 2 YRS 	 NONE 	 NONE 	 NONE 	 NONE 	 current smoking reg last 2 years 	 NULL 	 NULL 	 NULL 	 NULL 	 smoking;tobacco smoking behavior 	 C0037369;C0453996 	 inbe;inbe 	 study subject 	 C0681850 	 grup	Smoking History
phv00168335.v1 	 phs000343.v2.p1 	 pht002715.v1 	 alldti 	 DSF7 	" Not counting multi-vitamins, have you ever regularly taken Beta Carotene?  (DSF)  Not counting multi-vitamins or the VISP vitamin, have you regularly taken Beta Carotene during the past year?  (FDS) "	 encoded string 	 NONE 	 NONE 	 NONE 	 not counting multi vitamins  have you ever regularly taken beta carotene   dsf  not counting multi vitamins or the visp vitamin  have you regularly taken beta carotene during the past year   fds 	 NULL 	 NULL 	 NULL 	 NULL 	 vitamins;beta carotene 	 C0042890;C0053396 	" orch,phsu,vita;orch,phsu,vita "	 study subject 	 C0681850 	 grup	Medication Patient;Eating or Nutritional Finding
phv00071345.v1 	 phs000167.v1.p1 	 pht000714.v1 	 nonGAIN_Schizophrenia_cases 	 MedRec 	" Was at least 1 record obtained from a hospital, clinic or clinician about the subject's psychiatric history? "	 string 	 NONE 	 NONE 	 NONE 	 was at least 1 record obtained from a hospital  clinic or clinician about the subject s psychiatric history 	 NULL 	 NULL 	 NULL 	 NULL 	 medical history;history of previous events 	 C0262926;C2004062 	 fndg;fndg 	 study subject 	 C0681850 	 grup	Healthcare Encounter;Medical History
phv00003405.v1 	 phs000007.v18.p7 	 pht000020.v3 	 ex0_18s 	 FK157 	 RECENT ORTHOPNEA 	 NONE 	 NONE 	 NONE 	 NONE 	 recent orthopnea 	 NULL 	 NULL 	 NULL 	 NULL 	 orthopnea 	 C0085619 	 sosy 	 study subject 	 C0681850 	 grup	Medical History
phv00078508.v3 	 phs000200.v8.p2 	 pht000999.v3 	 f30_rel1 	 HOSP2Y 	 Hospitalized overnight last two years 	 encoded value 	 NONE 	 NONE 	 NONE 	 hospitalized overnight last two years 	 NULL 	 NULL 	 NULL 	 NULL 	 patient in hospital 	 C0701159 	 fndg 	 study subject 	 C0681850 	 grup	Healthcare Encounter;Medical History
